test_name, num_threads, time
tournament, 1, 95339800
atomic, 1, 36817200
sync, 1, 50639700
lock, 1, 105271500
tournament, 2, 140087200
atomic, 2, 22239500
sync, 2, 49229300
lock, 2, 53136500
tournament, 3, 202177100
atomic, 3, 18073000
sync, 3, 48892000
lock, 3, 36874600
tournament, 4, 215717800
atomic, 4, 39790900
sync, 4, 56265100
lock, 4, 41696800
tournament, 5, 465133000
atomic, 5, 56118600
sync, 5, 49478700
lock, 5, 44922900
tournament, 6, 840532700
atomic, 6, 30207200
sync, 6, 54819900
lock, 6, 44956600
tournament, 7, 473104900
atomic, 7, 52372900
sync, 7, 53615800
lock, 7, 44370600
tournament, 8, 770074300
atomic, 8, 49657900
sync, 8, 58448200
lock, 8, 45316200
tournament, 1, 88279900
atomic, 1, 12906800
sync, 1, 32563600
lock, 1, 31833700
tournament, 2, 134154600
atomic, 2, 26041200
sync, 2, 40985100
lock, 2, 54294100
tournament, 3, 231286400
atomic, 3, 27134700
sync, 3, 52790400
lock, 3, 40577500
tournament, 4, 249871100
atomic, 4, 35173300
sync, 4, 56052500
lock, 4, 41641800
tournament, 5, 453635100
atomic, 5, 48597300
sync, 5, 53179100
lock, 5, 40500100
tournament, 6, 502930500
atomic, 6, 49862900
sync, 6, 51084900
lock, 6, 39219100
tournament, 7, 309930800
atomic, 7, 50683900
sync, 7, 58140300
lock, 7, 44298200
tournament, 8, 335092300
atomic, 8, 65245100
sync, 8, 52235200
lock, 8, 44215300
tournament, 1, 38425500
atomic, 1, 11273300
sync, 1, 18040200
lock, 1, 27287000
tournament, 2, 130074200
atomic, 2, 17603400
sync, 2, 43519700
lock, 2, 51227700
tournament, 3, 180198400
atomic, 3, 31999900
sync, 3, 52794000
lock, 3, 43967300
tournament, 4, 232339200
atomic, 4, 58884500
sync, 4, 53779900
lock, 4, 43707500
tournament, 5, 317163800
atomic, 5, 49545300
sync, 5, 56223800
lock, 5, 43286500
tournament, 6, 485514100
atomic, 6, 53549100
sync, 6, 51181900
lock, 6, 44267500
tournament, 7, 379294200
atomic, 7, 54987200
sync, 7, 53603700
lock, 7, 41852900
tournament, 8, 238605500
atomic, 8, 58034300
sync, 8, 52573800
lock, 8, 43241300
tournament, 1, 33721800
atomic, 1, 10935800
sync, 1, 28312900
lock, 1, 26337800
tournament, 2, 103816900
atomic, 2, 39055000
sync, 2, 46549500
lock, 2, 57415800
tournament, 3, 170869200
atomic, 3, 40742800
sync, 3, 52542700
lock, 3, 42517300
tournament, 4, 175664900
atomic, 4, 56322700
sync, 4, 58192700
lock, 4, 51806700
tournament, 5, 286053000
atomic, 5, 52938100
sync, 5, 56684400
lock, 5, 56498000
tournament, 6, 341648300
atomic, 6, 43547300
sync, 6, 53003400
lock, 6, 52605400
tournament, 7, 291442700
atomic, 7, 53415100
sync, 7, 50960800
lock, 7, 55552100
tournament, 8, 732536900
atomic, 8, 61301500
sync, 8, 54978500
lock, 8, 55478700
tournament, 1, 51377000
atomic, 1, 10653900
sync, 1, 32967300
lock, 1, 37033300
tournament, 2, 103437400
atomic, 2, 41050600
sync, 2, 40844800
lock, 2, 59890500
tournament, 3, 183449400
atomic, 3, 33018100
sync, 3, 50731700
lock, 3, 52323500
tournament, 4, 256822400
atomic, 4, 47512500
sync, 4, 52907500
lock, 4, 51260900
tournament, 5, 320919300
atomic, 5, 77825500
sync, 5, 51951100
lock, 5, 52078700
tournament, 6, 245246100
atomic, 6, 61587700
sync, 6, 54438500
lock, 6, 51426400
tournament, 7, 371339500
atomic, 7, 51748100
sync, 7, 53435500
lock, 7, 52218700
tournament, 8, 413202400
atomic, 8, 71228000
sync, 8, 55141700
lock, 8, 51138400
tournament, 1, 30790800
atomic, 1, 10877600
sync, 1, 17743300
lock, 1, 33046800
tournament, 2, 121190900
atomic, 2, 39963500
sync, 2, 37814600
lock, 2, 62806000
tournament, 3, 165516700
atomic, 3, 44952900
sync, 3, 52760100
lock, 3, 51233500
tournament, 4, 196483300
atomic, 4, 33595300
sync, 4, 54611800
lock, 4, 51582300
tournament, 5, 266343400
atomic, 5, 48398600
sync, 5, 48769100
lock, 5, 51551000
tournament, 6, 391382100
atomic, 6, 44153100
sync, 6, 48863200
lock, 6, 71419700
tournament, 7, 480200100
atomic, 7, 22205900
sync, 7, 39166500
lock, 7, 58150200
tournament, 8, 465860900
atomic, 8, 41347800
sync, 8, 48536200
lock, 8, 51193700
tournament, 1, 58072200
atomic, 1, 15467700
sync, 1, 32454800
lock, 1, 44023800
tournament, 2, 101118800
atomic, 2, 29784700
sync, 2, 49388100
lock, 2, 46102300
tournament, 3, 217707500
atomic, 3, 45446000
sync, 3, 53808200
lock, 3, 54202700
tournament, 4, 237632400
atomic, 4, 40772200
sync, 4, 53590000
lock, 4, 51952200
tournament, 5, 381620700
atomic, 5, 40626900
sync, 5, 54992400
lock, 5, 56314900
tournament, 6, 400115700
atomic, 6, 47337200
sync, 6, 51134700
lock, 6, 54378500
tournament, 7, 486269800
atomic, 7, 53732600
sync, 7, 52442400
lock, 7, 52745500
tournament, 8, 749568200
atomic, 8, 50041300
sync, 8, 52525700
lock, 8, 52627500
tournament, 1, 47366100
atomic, 1, 12169300
sync, 1, 28809400
lock, 1, 36006400
tournament, 2, 91927300
atomic, 2, 46090900
sync, 2, 37703000
lock, 2, 63536400
tournament, 3, 194339700
atomic, 3, 48975000
sync, 3, 51421200
lock, 3, 51192100
tournament, 4, 237371300
atomic, 4, 51404600
sync, 4, 54926700
lock, 4, 51180500
tournament, 5, 366755500
atomic, 5, 39336300
sync, 5, 55882700
lock, 5, 51814000
tournament, 6, 620259200
atomic, 6, 49114000
sync, 6, 53856600
lock, 6, 52511200
tournament, 7, 307528100
atomic, 7, 53975800
sync, 7, 62633800
lock, 7, 50811500
tournament, 8, 437996700
atomic, 8, 46415300
sync, 8, 62578200
lock, 8, 56796000
tournament, 1, 57412500
atomic, 1, 14454900
sync, 1, 29943000
lock, 1, 36231700
tournament, 2, 167088400
atomic, 2, 25148800
sync, 2, 41996900
lock, 2, 61995800
tournament, 3, 226208800
atomic, 3, 33651800
sync, 3, 49418700
lock, 3, 51342500
tournament, 4, 287739100
atomic, 4, 23215400
sync, 4, 55620600
lock, 4, 52035500
tournament, 5, 304674600
atomic, 5, 45898000
sync, 5, 54333500
lock, 5, 51458300
tournament, 6, 262641200
atomic, 6, 51225100
sync, 6, 52316400
lock, 6, 52449800
tournament, 7, 773637900
atomic, 7, 55214300
sync, 7, 55333700
lock, 7, 55078800
tournament, 8, 838077200
atomic, 8, 53113700
sync, 8, 57875900
lock, 8, 57234200
tournament, 1, 43060800
atomic, 1, 12485900
sync, 1, 20658300
lock, 1, 36107300
tournament, 2, 106856400
atomic, 2, 16575200
sync, 2, 42621200
lock, 2, 66795600
tournament, 3, 220835900
atomic, 3, 50955900
sync, 3, 53637300
lock, 3, 52800100
tournament, 4, 263367300
atomic, 4, 51511000
sync, 4, 58147100
lock, 4, 53303600
tournament, 5, 539065200
atomic, 5, 22527400
sync, 5, 58463500
lock, 5, 54930300
tournament, 6, 428172900
atomic, 6, 54932700
sync, 6, 54438300
lock, 6, 57356300
tournament, 7, 425175200
atomic, 7, 39623400
sync, 7, 57763500
lock, 7, 54559600
tournament, 8, 954138400
atomic, 8, 43398200
sync, 8, 56400200
lock, 8, 55790900
tournament, 1, 34242700
atomic, 1, 12395300
sync, 1, 31370700
lock, 1, 35483200
tournament, 2, 126723700
atomic, 2, 26891200
sync, 2, 41192500
lock, 2, 62000000
tournament, 3, 175260200
atomic, 3, 16847000
sync, 3, 34130200
lock, 3, 54198500
tournament, 4, 358474300
atomic, 4, 46903800
sync, 4, 56822000
lock, 4, 54457600
tournament, 5, 449338000
atomic, 5, 55420500
sync, 5, 56131000
lock, 5, 55648700
tournament, 6, 910555100
atomic, 6, 39222100
sync, 6, 132198000
lock, 6, 60901500
tournament, 7, 733498800
atomic, 7, 29692600
sync, 7, 58999700
lock, 7, 58259000
tournament, 8, 410361600
atomic, 8, 49920300
sync, 8, 56751300
lock, 8, 55722000
tournament, 1, 59387600
atomic, 1, 13791600
sync, 1, 31221000
lock, 1, 35998400
tournament, 2, 141467100
atomic, 2, 35944600
sync, 2, 43031700
lock, 2, 65062100
tournament, 3, 201568300
atomic, 3, 40868900
sync, 3, 53234600
lock, 3, 53781800
tournament, 4, 330419300
atomic, 4, 50362700
sync, 4, 56414700
lock, 4, 53868700
tournament, 5, 377693500
atomic, 5, 48376900
sync, 5, 58938300
lock, 5, 54571700
tournament, 6, 378417900
atomic, 6, 49664600
sync, 6, 57410100
lock, 6, 53700900
tournament, 7, 695647800
atomic, 7, 60497000
sync, 7, 49860900
lock, 7, 58608000
tournament, 8, 842116100
atomic, 8, 23347500
sync, 8, 41735000
lock, 8, 56618300
tournament, 1, 55796200
atomic, 1, 11423100
sync, 1, 30997400
lock, 1, 35841000
tournament, 2, 129187900
atomic, 2, 26400300
sync, 2, 40979900
lock, 2, 68859600
tournament, 3, 214377000
atomic, 3, 42443400
sync, 3, 49888500
lock, 3, 54915400
tournament, 4, 319475800
atomic, 4, 55100800
sync, 4, 56679800
lock, 4, 53329000
tournament, 5, 388862200
atomic, 5, 57405300
sync, 5, 57249900
lock, 5, 54488100
tournament, 6, 416145000
atomic, 6, 84851100
sync, 6, 54795900
lock, 6, 55450700
tournament, 7, 780494900
atomic, 7, 60064400
sync, 7, 55186900
lock, 7, 55148100
tournament, 8, 457014200
atomic, 8, 53953900
sync, 8, 56106800
lock, 8, 55083400
tournament, 1, 39238700
atomic, 1, 10967200
sync, 1, 17870500
lock, 1, 33777400
tournament, 2, 97713700
atomic, 2, 25616400
sync, 2, 50995700
lock, 2, 63044700
tournament, 3, 167097200
atomic, 3, 44116100
sync, 3, 50496600
lock, 3, 54486600
tournament, 4, 243434700
atomic, 4, 62319000
sync, 4, 58394200
lock, 4, 52342800
tournament, 5, 395568400
atomic, 5, 58004100
sync, 5, 53378000
lock, 5, 52776200
tournament, 6, 273404900
atomic, 6, 70730200
sync, 6, 53539400
lock, 6, 51061200
tournament, 7, 367442100
atomic, 7, 61500000
sync, 7, 53579400
lock, 7, 50959800
tournament, 8, 414502600
atomic, 8, 69144800
sync, 8, 54023700
lock, 8, 51139600
tournament, 1, 35588400
atomic, 1, 10856300
sync, 1, 29216700
lock, 1, 32664900
tournament, 2, 87556900
atomic, 2, 25232700
sync, 2, 38448600
lock, 2, 57980200
tournament, 3, 148545500
atomic, 3, 54473300
sync, 3, 48357700
lock, 3, 54077800
tournament, 4, 154623000
atomic, 4, 90158200
sync, 4, 52011800
lock, 4, 52204300
tournament, 5, 267036500
atomic, 5, 64820600
sync, 5, 50447600
lock, 5, 51064100
tournament, 6, 375303800
atomic, 6, 77454100
sync, 6, 53201500
lock, 6, 50930000
tournament, 7, 346102000
atomic, 7, 78894000
sync, 7, 52659900
lock, 7, 50251800
tournament, 8, 272795400
atomic, 8, 89591100
sync, 8, 53137300
lock, 8, 50948100
tournament, 1, 31297300
atomic, 1, 10632700
sync, 1, 29508400
lock, 1, 32977900
tournament, 2, 141055000
atomic, 2, 48239800
sync, 2, 40136900
lock, 2, 60787300
tournament, 3, 161806300
atomic, 3, 50333700
sync, 3, 53570300
lock, 3, 55813900
tournament, 4, 165319600
atomic, 4, 90573000
sync, 4, 54341400
lock, 4, 52547700
tournament, 5, 309449800
atomic, 5, 56944500
sync, 5, 51601900
lock, 5, 50332300
tournament, 6, 275617900
atomic, 6, 73477400
sync, 6, 51138100
lock, 6, 51776100
tournament, 7, 342727700
atomic, 7, 53391000
sync, 7, 60546100
lock, 7, 50131200
tournament, 8, 367298200
atomic, 8, 84035200
sync, 8, 52932700
lock, 8, 50277100
tournament, 1, 29310000
atomic, 1, 10712300
sync, 1, 17200000
lock, 1, 32608000
tournament, 2, 81645600
atomic, 2, 22049900
sync, 2, 44928300
lock, 2, 61818600
tournament, 3, 163033100
atomic, 3, 42537900
sync, 3, 45390600
lock, 3, 51855900
tournament, 4, 165874600
atomic, 4, 91720900
sync, 4, 53219000
lock, 4, 50848900
tournament, 5, 290732300
